year,fullName,primaryNationality,Male,Female,typeOfDeath,employedAs,organizations,jobs,coverage,mediums,country,localOrForeign,accountabilityCrossfire,accountabilityAssignment,impunityMurder,tortured,captive,threatened
2018,Leobardo Vaquez Atzin,Mexico,y,n,Murder,Staff,Enlace Informativo Regional,Internet Reporter,"Corruption,Crime,Politics",Internet,Mexico,Local,n/a,n/a,Complete Impunity,No,No,Yes
2018,Leslie Ann Pamela Montenegro del Real,Mexico,n,y,Murder,Staff,El Sill√≥n,"Internet Reporter,Columnist/Commentator","Politics,Culture",Internet,Mexico,Local,n/a,n/a,Complete Impunity,No,No,Yes
2018,Maharram Durrani,Afghanistan,n,y,Murder,Staff,"Radio Azadi,Radio Free Europe/Radio Liberty","Internet Reporter,Producer","Politics,War","Radio,Internet",Afghanistan,Local,n/a,n/a,Complete Impunity,No,No,No
2018,Mohammad al-Qadasi,Yemen,y,n,Crossfire,Staff,Belqees TV,Photographer,War,"Internet,Television",Yemen,Local,No,n/a,n/a,n/a,n/a,n/a
2018,Mustafa Salamah,Syria,y,n,Crossfire,Staff,Sama TV,Broadcast Reporter,War,Television,Syria,Local,No,n/a,n/a,n/a,n/a,n/a
2018,Navin Nischal,India,y,n,Murder,Freelance,Dainik Bhaskar,Print Reporter,Politics,Print,India,Local,n/a,n/a,Complete Impunity,No,No,No
2018,Nowroz Ali Rajabi,Afghanistan,y,n,Murder,Staff,1TV,Camera Operator,"Crime,Politics,War","Internet,Television",Afghanistan,Local,n/a,n/a,n/a,No,No,No
2018,Obeida abu Omar,Syria,y,n,Crossfire,Staff,Damaski Media Agency,Internet Reporter,War,Internet,Syria,Local,No,n/a,n/a,n/a,n/a,n/a
2018,Paul Rivas Bravo,Ecuador,y,n,Murder,Staff,El Comercio,Photographer,"Culture,Human Rights,Politics,Sports",Print,Colombia,Foreign,n/a,n/a,Complete Impunity,Yes,Yes,No
2018,Rob Hiaasen,USA,y,n,Murder,Staff,Capital Gazette,"Columnist/Commentator,Editor","Business,Culture,Politics,Sports","Internet,Print",USA,Local,n/a,n/a,Complete Impunity,No,No,Yes
2018,Sabawoon Kakar,Afghanistan,y,n,Murder,Staff,"Radio Azadi,Radio Free Europe/Radio Liberty",Producer,"Culture,Politics,War","Print,Radio,Internet,Television",Afghanistan,Local,n/a,n/a,Complete Impunity,No,No,No
2018,Saleem Talash,Afghanistan,y,n,Murder,Staff,Mashal TV,Broadcast Reporter,"Politics,War",Television,Afghanistan,Local,n/a,n/a,Complete Impunity,No,No,No
2018,Sandeep Sharma,India,y,n,Murder,Staff,News World,Broadcast Reporter,Corruption,Television,India,Local,n/a,n/a,Complete Impunity,No,No,Yes
2018,Shah Marai,Afghanistan,y,n,Murder,Staff,Agence France-Presse,Photographer,War,"Print,Internet",Afghanistan,Local,n/a,n/a,Complete Impunity,No,No,No
2018,Shujaat Bukhari,India,y,n,Murder,Staff,Rising Kashmir,"Editor,Print Reporter","Human Rights,Politics",Print,India,Local,n/a,n/a,Complete Impunity,No,No,Yes
2018,Wendi Winters,USA,n,y,Murder,Staff,Capital Gazette,"Internet Reporter,Print Reporter","Business,Culture,Sports","Internet,Print",USA,Local,n/a,n/a,Complete Impunity,No,No,Yes
2018,Yar Mohammad Tokhi,Afghanistan,y,n,Murder,Staff,TOLO News,Camera Operator,"Politics,War","Internet,Television",Afghanistan,Local,n/a,n/a,Complete Impunity,No,No,No
2018,Yaser Murtaja,Israel and the Occupied Palestinian Territory,y,n,Dangerous Assignment,Staff,Ain Media,"Camera Operator,Photographer,Producer","Human Rights,Politics","Internet,Television",Israel and the Occupied Palestinian Territory,Local,n/a,No,n/a,n/a,n/a,n/a
2017,Abdul Hakim Shimul,Bangladesh,y,n,Dangerous Assignment,Staff,Samakal,Print Reporter,Politics,Print,Bangladesh,Local,n/a,n/a,Complete Impunity,n/a,n/a,n/a
2017,Abdullahi Osman Moalim,Somalia,y,n,Murder,Staff,"Jubbaland TV, Codka Hiraan",Broadcast reporter,Politics,"Radio,Television",Somalia,Local,n/a,n/a,Complete Impunity,No,No,No
2017,Alaa Kraym (Mohammed al-Qabouni),Syria,y,n,Crossfire,Freelance,Qaboun Media Center,"Camera Operator,Photographer,Internet Reporter","War,Human Rights",Internet,Syria,Local,No,n/a,n/a,n/a,n/a,n/a
2017,Ali Nur Siad,Somalia,y,n,Dangerous Assignment,Freelance,Voice of America,Camera Operator,"Politics,Culture,Human Rights,Sports,Business",Television,Somalia,Local,n/a,No,n/a,n/a,n/a,n/a
2017,Arkan Sharifi,Iraq,y,n,Murder,Staff,Kurdistan TV,Camera Operator,"Politics,War",Television,Iraq,Local,n/a,n/a,Complete Impunity,Yes,No,No
2017,Cecilio Pineda Birto,Mexico,y,n,Murder,Freelance,Freelance,"Internet Reporter,Print Reporter","Crime,Corruption","Print,Internet",Mexico,Local,n/a,n/a,Complete Impunity,No,No,Yes
2017,Christopher Allen,USA,y,n,Crossfire,Freelance,Freelance,"Photographer,Internet Reporter,Print Reporter","War,Corruption,Politics","Print,Internet",South Sudan,Foreign,No,n/a,n/a,n/a,n/a,n/a
2017,Christopher Iban Lozada,Philippines,y,n,Murder,Staff,DBXF Prime Broadcasting Network,Broadcast Reporter,"Corruption,Politics",Radio,Philippines,Local,n/a,n/a,Complete Impunity,No,No,No
2017,Daphne Caruana Galizia,Malta,n,y,Murder,Freelance,Running Commentary,Internet Reporter,"Business,Corruption,Crime,Human Rights,Politics",Internet,Malta,Local,n/a,n/a,Complete Impunity,No,No,Yes
2017,Dilshan Ibash,Syria,n,y,Crossfire,Staff,Hawar News Agency (ANHA),"Broadcast Reporter,Internet Reporter",War,"Television,Internet",Syria,Local,No,n/a,n/a,n/a,n/a,n/a
2017,Dmitry Popkov,Russia,y,n,Murder,Staff,Ton-M,"Editor,Print Reporter","Corruption,Politics","Print,Internet",Russia,Local,n/a,n/a,Complete Impunity,No,No,Yes
2017,Edgar Daniel Esqueda Castro,Mexico,y,n,Murder,Freelance,Freelance,Photographer,"Crime,Culture",Internet,Mexico,Local,n/a,n/a,Complete Impunity,Yes,Yes,Yes
2017,Gauri Lankesh,India,n,y,Murder,Staff,Gauri Lankesh Patrike,"Publisher / Owner,Columnist / Commentator","Corruption,Human Rights,Politics","Print,Internet",India,Local,n/a,n/a,Complete Impunity,No,No,Yes
2017,Habibollah Hosseinzadeh,Afghanistan,y,n,Dangerous Assignment,Staff,Press TV,Camera Operator,War,Television,Afghanistan,Local,n/a,No,n/a,n/a,n/a,n/a
2017,Harb Hazzah al-Duleimi,Iraq,y,n,Crossfire,Staff,Hona Salaheddin,Broadcast Reporter,"Culture,Human Rights,Politics,War,Sports",Television,Iraq,Local,No,n/a,n/a,n/a,n/a,n/a
2017,Hawker Faisal Mohammed,Syria,y,n,Crossfire,Staff,Hawar News Agency (ANHA),"Broadcast Reporter,Camera Operator",War,"Television,Internet",Syria,Local,No,n/a,n/a,n/a,n/a,n/a
2017,Hussain Nazari,Afghanistan,y,n,Dangerous Assignment,Staff,Rah-E-Farda Radio and Television,Camera Operator,Politics,"Radio,Television",Afghanistan,Local,n/a,No,n/a,n/a,n/a,n/a
2017,Javier Valdez Cardenas,Mexico,y,n,Murder,Staff,R√≠odoce,"Internet Reporter,Print Reporter","Corruption,Crime,Politics","Print,Internet",Mexico,Local,n/a,n/a,Complete Impunity,No,No,Yes
2017,Joaquin Briones,Philippines,y,n,Murder,Staff,Remate,Print Reporter,"Crime,Politics",Print,Philippines,Local,n/a,n/a,Complete Impunity,No,No,Yes
2017,Karam Kabishou,Syria,y,n,Crossfire,Staff,Sama TV,Camera Operator,"War,Culture",Television,Syria,Local,No,n/a,n/a,n/a,n/a,n/a
2017,Khaled al-Khateb,Syria,y,n,Crossfire,Freelance,RT,"Broadcast Reporter,Camera Operator",War,Television,Syria,Local,No,n/a,n/a,n/a,n/a,n/a
2017,Kim Wall,Sweden,n,y,Dangerous Assignment,Freelance,Freelance,Print Reporter,"Culture,Human Rights,Politics",Print,Denmark,Foreign,n/a,Yes,n/a,n/a,n/a,n/a
2017,Louay Sadiq Meshaal,Iraq,y,n,Crossfire,Staff,Al-Nujaba TV,"Photographer,Camera Operator",War,"Internet,Television",Iraq,Local,No,n/a,n/a,n/a,n/a,n/a
2017,Luis Gustavo da Silva,Brazil,y,n,Murder,Freelance,Freelance,Internet Reporter,"Corruption,Crime",Internet,Brazil,Local,n/a,n/a,Complete Impunity,No,No,No
2017,Mar√≠a Efigenia Vasquez Astudillo,Colombia,n,y,Crossfire,Staff,Renacer Kokonuko,Broadcast Reporter,Culture,Radio,Colombia,Local,No,n/a,n/a,n/a,n/a,n/a
2017,Maximino Rodriguez,Mexico,y,n,Murder,Freelance,Freelance,"Columnist / Commentator,Internet Reporter","Corruption,Crime,Politics",Internet,Mexico,Local,n/a,n/a,Complete Impunity,No,No,Yes
2017,Miroslava Breach Velducea,Mexico,n,y,Murder,Staff,La Jornada,"Print Reporter,Internet Reporter","Crime,Politics","Print,Internet",Mexico,Local,n/a,n/a,Complete Impunity,No,No,Yes
2017,Mohamed Abazied (George Samara),Syria,y,n,Crossfire,Staff,Nabd Syria Satellite Station/ Syria Media Organization (SMO),Broadcast Reporter,War,"Television,Internet",Syria,Local,n/a,n/a,n/a,n/a,n/a,n/a
2017,Nikolai Andrushchenko,Russia,y,n,Murder,Staff,Novy Peterburg,"Internet Reporter,Print Reporter","Corruption,Politics","Print,Internet",Russia,Local,n/a,n/a,Complete Impunity,No,No,Yes
2017,Osama Nasr al-Zoabi,Syria,y,n,Crossfire,Staff,Syrian Media Organization (SMO),"Broadcast Reporter,Camera Operator",War,"Internet,Television",Syria,Local,No,n/a,n/a,n/a,n/a,n/a
2017,Qais al-Jazar (Qais al-Qadhi),Syria,y,n,Crossfire,Staff,Al-Jisr TV,"Camera Operator,Editor,Broadcast Reporter",War,Television,Syria,Local,No,n/a,n/a,n/a,n/a,n/a
2017,Rajesh Mishra,India,y,n,Murder,Freelance,Dainik Jagran,Print Reporter,"Corruption,Crime",Print,India,Local,n/a,n/a,Complete Impunity,No,No,No
2017,Salvador Adame Pardo,Mexico,y,n,Murder,Staff,6TV,"Broadcast Reporter,Publisher/Owner","Corruption,Politics",Television,Mexico,Local,n/a,n/a,Complete Impunity,No,Yes,No
2017,Sayed Mehdi Husaini,Afghanistan,y,n,Dangerous Assignment,Staff,Jomhor News Agency,Internet Reporter,Culture,Internet,Afghanistan,Local,n/a,No,n/a,n/a,n/a,n/a
2017,Sayeed Khuda Dad Ahamdi,Afghanistan,y,n,Dangerous Assignment,Staff,Afghan Voice Agency,"Print Reporter,Internet Reporter",Culture,"Internet,Television",Afghanistan,Local,n/a,No,n/a,n/a,n/a,n/a
2017,Shantanu Bhowmik,India,y,n,Dangerous Assignment,Staff,Dinraat,Broadcast Reporter,Politics,Television,India,Local,n/a,No,n/a,n/a,n/a,n/a
2017,Shifa Zikri Ibrahim (Shifa Gardi),Iraq,n,y,Crossfire,Staff,Rudaw TV,Broadcast Reporter,War,Television,Iraq,Local,n/a,n/a,n/a,n/a,n/a,n/a
2017,Stephane Villeneuve,France,y,n,Crossfire,Freelance,#5BisProduction,Camera Operator,War,"Television,Internet",Iraq,Foreign,No,n/a,n/a,n/a,n/a,n/a
2017,Sudad Faris,Iraq,y,n,Crossfire,Staff,Salaheddin TV,"Camera Operator,Producer","Corruption,Culture,Human Rights,War",Television,Iraq,Local,No,n/a,n/a,n/a,n/a,n/a
2017,Sudip Dutta Bhaumik,India,y,n,Murder,Staff,Syandan Patrika,Print Reporter,"Politics,Corruption",Print,India,Local,n/a,n/a,Complete Impunity,No,No,No
2017,Suhaib al-Heeti,Iraq,y,n,Dangerous Assignment,Freelance,Asiasat,Broadcast Reporter,"Politics,War,Human Rights,Culture",Television,Iraq,Local,n/a,No,n/a,n/a,n/a,n/a
2017,Taimoor Khan,Pakistan,y,n,Dangerous Assignment,Staff,Samaa TV,Camera Operator,"Crime,Politics",Television,Pakistan,Local,n/a,n/a,n/a,n/a,n/a,n/a
2017,Takieddin al-Hudhaifi,Yemen,y,n,Crossfire,Freelance,Al-Akhbariya,"Camera Operator,Photographer",War,Television,Yemen,Local,No,n/a,n/a,n/a,n/a,n/a
2017,Veronique Robert,France,n,y,Crossfire,Staff,#5BisProduction,"Camera Operator,Photographer","War,Human Rights","Television,Internet",Iraq,Foreign,No,n/a,n/a,n/a,n/a,n/a
2017,Wael al-Absi,Yemen,y,n,Crossfire,Freelance,Yemen TV,"Camera Operator,Photographer","War,Human Rights",Television,Yemen,Local,No,n/a,n/a,n/a,n/a,n/a
2017,Yameen Rasheed,Maldives,y,n,Murder,Staff,The Daily Panic,"Columnist/Commentator,Publisher/Owner","Corruption,Politics",Internet,Maldives,Local,n/a,n/a,Complete Impunity,No,No,Yes
2016,Abdelqadir Fassouk,Libya,y,n,Crossfire,Staff,Arraed Satellite TV,"Camera Operator,Photographer",War,"Print,Television",Libya,Local,n/a,n/a,n/a,n/a,n/a,n/a
2016,Abdiaziz Ali,Somalia,y,n,Murder,Staff,Radio Shabelle,Broadcast Reporter,"Corruption,Human Rights,War",Radio,Somalia,Local,n/a,n/a,Complete Impunity,No,No,No
2016,Abdul Salam Kanaan,Syria,y,n,Crossfire,Staff,Al-Jisr TV,Broadcast Reporter,War,Television,Syria,Local,n/a,n/a,n/a,n/a,n/a,n/a
2016,Abdullah Mohammad Ghannam,Syria,y,n,Crossfire,Staff,Shahba Press Agency,"Photographer,Internet Reporter","Human Rights,War",Internet,Syria,Local,n/a,n/a,n/a,n/a,n/a,n/a
2016,Ahmad Hallak,Syria,y,n,Crossfire,Staff,Al-Buraq Media Institution,"Photographer,Internet Reporter",War,Internet,Syria,Local,n/a,n/a,n/a,n/a,n/a,n/a
2016,Ahmed al-Shaibani,Yemen,y,n,Crossfire,Freelance,"Yaman News, Yemen TV","Camera Operator,Photographer,Internet Reporter",War,"Television,Internet",Yemen,Local,n/a,n/a,n/a,n/a,n/a,n/a
2016,Ahmet Haceroƒülu,Iraq,y,n,Crossfire,Staff,T√ºrkmeneli TV,Producer,"Politics,War",Television,Iraq,Local,n/a,n/a,n/a,n/a,n/a,n/a
2016,Ali Mahmud,Iraq,y,n,Crossfire,Staff,Al-Ghadeer TV,Camera Operator,War,Television,Iraq,Local,n/a,n/a,n/a,n/a,n/a,n/a
2016,Ali Risan,Iraq,y,n,Crossfire,Staff,Al-Sumaria TV,Camera Operator,War,"Television,Internet",Iraq,Local,n/a,n/a,n/a,n/a,n/a,n/a
2016,Almigdad Mojalli,Yemen,y,n,Crossfire,Freelance,Freelance,"Broadcast Reporter,Print Reporter","Culture,Human Rights,Politics,War","Print,Internet",Yemen,Local,n/a,n/a,n/a,No,No,n/a
2016,Awab al-Zubiry,Yemen,y,n,Crossfire,Freelance,Freelance,"Camera Operator,Photographer","Politics,War",Internet,Yemen,Local,n/a,n/a,n/a,n/a,n/a,n/a
2016,David Gilkey,USA,y,n,Crossfire,Staff,National Public Radio,Photographer,"Politics,War","Radio,Internet",Afghanistan,Foreign,n/a,n/a,n/a,n/a,n/a,n/a
2016,El-Hadj Mohamed Diallo ,Guinea,y,n,Dangerous Assignment,Staff,"Guin√©e7, Afrik",Internet Reporter,Politics,Internet,Guinea,Local,n/a,n/a,n/a,No,No,No
2016,Elidio Ramos Zarate,Mexico,y,n,Murder,Staff,El Sur,Print Reporter,Crime,Print,Mexico,Local,n/a,n/a,Complete Impunity,No,No,Yes
2016,Hashim al-Hamran,Yemen,y,n,Crossfire,Staff,Al-Masirah TV,Camera Operator,War,Television,Yemen,Local,n/a,n/a,n/a,n/a,n/a,n/a
2016,Hassan al-Anbaki,Iraq,y,n,Murder,Staff,Al-Sharqiya,Camera Operator,War,Television,Iraq,Local,n/a,n/a,Complete Impunity,No,No,No
2016,Ibrahim Omar,Syria,y,n,Crossfire,Staff,Al Jazeera,Camera Operator,War,Television,Syria,Local,n/a,n/a,n/a,n/a,n/a,n/a
2016,Jeroen Oerlemans ,n/a,y,n,Crossfire,Freelance,Freelance,Photographer,"Politics,War","Print,Internet",Libya,Foreign,n/a,n/a,n/a,n/a,n/a,n/a
2016,Jo√£o Miranda do Carmo,Brazil,y,n,Murder,Staff,SAD Sem Censura,"Editor,Internet Reporter","Corruption,Crime,Politics",Internet,Brazil,Local,n/a,n/a,Complete Impunity,No,No,Yes
2016,Karun Misra,India,y,n,Murder,Staff,Jansandesh Times,Print Reporter,"Corruption,Crime,Politics",Print,India,Local,n/a,n/a,Complete Impunity,No,No,No
2016,Khaled al-Zintani ,Libya,y,n,Crossfire,Freelance,Freelance,Photographer,War,"Television,Internet",Libya,Local,n/a,n/a,n/a,n/a,n/a,n/a
2016,Khaled Eissa ,Syria,y,n,Murder,Freelance,Freelance,"Camera Operator,Photographer","Human Rights,War","Television,Internet",Syria,Local,n/a,n/a,Complete Impunity,No,No,No
2016,Mahad Ali Mohamed ,Somalia,y,n,Crossfire,Staff,Codka Mudug Radio,Broadcast Reporter,War,Radio,Somalia,Local,n/a,n/a,n/a,n/a,n/a,n/a
2016,Majid Dirani,Syria,y,n,Crossfire,Freelance,Freelance,"Camera Operator,Internet Reporter",War,Internet,Syria,Local,n/a,n/a,n/a,n/a,n/a,n/a
2016,Marcos Hernandez Bautista ,Mexico,y,n,Murder,Staff,"Noticias, Voz e Imagen de Oaxaca","Broadcast Reporter,Print Reporter","Corruption,Politics","Print,Radio",Mexico,Local,n/a,n/a,Partial Impunity,No,No,Yes
2016,Mehmood Khan,Pakistan,y,n,Dangerous Assignment,Staff,DawnNews,Camera Operator,"Business,Corruption,Crime,Culture,Human Rights,Politics,Sports","Television,Internet",Pakistan,Local,n/a,n/a,n/a,No,No,No
2016,Mohammad Nasir Mudasir ,Afghanistan,y,n,Murder,Staff,Melli Paigham Radio,Editor,,Radio,Afghanistan,Local,n/a,n/a,Complete Impunity,No,No,Yes
2016,Mohammed Eissa,Syria,y,n,Murder,Staff,Nateq Network,"Photographer,Internet Reporter",War,Internet,Syria,Local,n/a,n/a,Complete Impunity,No,Yes,Yes
2016,Mohammed Ghalib al-Majidi,Yemen,y,n,Crossfire,Freelance,Freelance,"Camera Operator,Photographer,Internet Reporter","Human Rights,Politics,War",Internet,Yemen,Local,n/a,n/a,n/a,n/a,n/a,n/a
2016,Mohammed Sayyed Hassan,Syria,y,n,Crossfire,Staff,"All4Syria, Al-Nabaa Media Center","Photographer,Editor,Internet Reporter",War,Internet,Syria,Local,n/a,n/a,n/a,n/a,n/a,n/a
2016,Mohsen Khazaei,n/a,y,n,Crossfire,Staff,Islamic Republic of Iran Broadcasting,Broadcast Reporter,War,Television,Syria,Foreign,n/a,n/a,n/a,n/a,n/a,n/a
2016,Mubarak al-Abadi,Yemen,y,n,Crossfire,Staff,Nabaa Media Foundation,"Broadcast Reporter,Camera Operator,Photographer,Producer","Politics,War",Television,Yemen,Local,n/a,n/a,n/a,n/a,n/a,n/a
2016,Mustafa Abdul Hassa,Syria,y,n,Murder,Staff,Shaam News Network,Internet Reporter,War,Internet,Syria,Local,n/a,n/a,Complete Impunity,No,Yes,Yes
2016,Mustafa Said,Iraq,y,n,Crossfire,Staff,Kurdistan TV,Camera Operator,War,Television,Iraq,Local,n/a,n/a,n/a,No,No,No
2016,Naimatullah Zaheer,Afghanistan,y,n,Crossfire,Staff,Ariana News,Broadcast Reporter,"Culture,Politics,War",Television,Afghanistan,Local,n/a,n/a,n/a,n/a,n/a,n/a
2016,Niraz Saeed,Syria,y,n,Unknown,Freelance,Freelance,Photographer,"Human Rights,War","Print,Internet",Syria,Local,n/a,n/a,n/a,n/a,n/a,n/a
2016,Osama Jumaa,Syria,y,n,Crossfire,Staff,Images Live,"Camera Operator,Photographer",War,"Television,Internet",Syria,Local,n/a,n/a,n/a,n/a,n/a,n/a
2016,Pavel Sheremet,n/a,y,n,Murder,Staff,"Ukrainska Pravda, Radio Vesti","Broadcast Reporter,Internet Reporter","Corruption,Crime,Politics","Radio,Internet",Ukraine,Foreign,n/a,n/a,Complete Impunity,No,No,Yes
2016,Rajdev Ranjan,India,y,n,Murder,Staff,Hindustan,Print Reporter,"Corruption,Crime,Politics",Print,India,Local,n/a,n/a,Complete Impunity,No,No,Yes
2016,Rohat Akta_,Turkey,y,n,Unknown,Staff,Azadiya Welat,"Editor,Print Reporter","Politics,War",Print,Turkey,Local,n/a,n/a,n/a,n/a,n/a,n/a
2016,Sagal Salad Osman,Somalia,n,y,Murder,Staff,Radio Mogadishu,Broadcast Reporter,Culture,Radio,Somalia,Local,n/a,n/a,Complete Impunity,No,No,No
2016,Saif Talal,Iraq,y,n,Murder,Staff,Al-Sharqiya,Broadcast Reporter,War,Television,Iraq,Local,n/a,n/a,Complete Impunity,No,No,Yes
2016,Samer Mohammed Aboud,Syria,y,n,Murder,Staff,"Free Deir al-Zour Radio, Development Interaction Network","Broadcast Reporter,Internet Reporter",War,"Radio,Internet",Syria,Local,n/a,n/a,Complete Impunity,No,Yes,Yes
2016,Sami Jawdat Rabah,Syria,y,n,Murder,Staff,Syrian Observatory for Human Rights,"Photographer,Internet Reporter",War,Internet,Syria,Local,n/a,n/a,Complete Impunity,No,Yes,Yes
2016,Shehzad Ahmed,Pakistan,y,n,Dangerous Assignment,Staff,Aaj News,Camera Operator,"Business,Corruption,Crime,Culture,Human Rights,Politics,Sports",Television,Pakistan,Local,n/a,n/a,n/a,No,No,No
2016,Soe Moe Tun ,Myanmar,y,n,Murder,Staff,Daily Eleven,Print Reporter,"Corruption,Crime",Print,Myanmar,Local,n/a,n/a,Complete Impunity,No,No,No
2016,Taha Shawkat Al-Halou,Syria,y,n,Crossfire,Freelance,Freelance,"Photographer,Internet Reporter",War,Internet,Syria,Local,n/a,n/a,n/a,n/a,n/a,n/a
2016,Zabihullah Tamanna,Afghanistan,y,n,Crossfire,Freelance,National Public Radio,Producer,"Culture,Human Rights,Politics,War","Print,Radio,Internet",Afghanistan,Local,n/a,n/a,n/a,n/a,n/a,n/a
2016,Zaher al-Shurqat,n/a,y,n,Murder,Staff,Aleppo Today,Broadcast Reporter,War,Internet,Turkey,Foreign,n/a,n/a,Complete Impunity,No,No,Yes
2015,Abdullah Qabil,Yemen,y,n,Crossfire,Staff,"Yemen Youth TV, Belqees TV",Broadcast Reporter,"Politics,War",Television,Yemen,Local,n/a,n/a,n/a,No,Yes,No
2015,Adam Juma,South Sudan,y,n,Murder,Staff,Raja FM,Broadcast Reporter,"Politics,War",Radio,South Sudan,Local,n/a,n/a,Complete Impunity,No,No,No
2015,Adam Ward,USA,y,n,Dangerous Assignment,Staff,WDBJ7,Camera Operator,"Business,Corruption,Crime,Culture,Human Rights,Politics,Sports",Television,USA,Local,n/a,n/a,n/a,n/a,n/a,n/a
2015,Adel Sayegh ,Iraq,y,n,Murder,Staff,Salaheddin TV,"Camera Operator,Photographer","Politics,War",Television,Iraq,Local,n/a,n/a,Complete Impunity,No,Yes,No
2015,Ahmed Abu al-Hamza,Syria,y,n,Crossfire,Staff,"SMART News Agency, Hama Media Center","Camera Operator,Photographer",War,Internet,Syria,Local,n/a,n/a,n/a,No,No,No
2015,Ahmed Mohamed al-Mousa,Syria,y,n,Murder,Staff,Raqqa is Being Slaughtered Silently,Editor,"Human Rights,Politics,War",Internet,Syria,Local,n/a,n/a,Complete Impunity,No,No,Yes
2015,Alison Parker,USA,n,y,Dangerous Assignment,Staff,WDBJ7,Broadcast Reporter,"Business,Corruption,Crime,Culture,Human Rights,Politics,Sports",Television,USA,Local,n/a,n/a,n/a,n/a,n/a,n/a
2015,Ammar al-Shami,Syria,y,n,Crossfire,Staff,Qasioun News,Photographer,"Human Rights,Politics,War",Internet,Syria,Local,n/a,n/a,n/a,n/a,n/a,n/a
2015,Ananta Bijoy Das,Bangladesh,y,n,Murder,Freelance,Freelance,"Internet Reporter,Print Reporter","Culture,Human Rights,Politics","Print,Internet",Bangladesh,Local,n/a,n/a,Complete Impunity,No,No,Yes
2015,Armando Saldaña Morales,Mexico,y,n,Murder,Staff,La Ke Buena 100.9 FM,Broadcast Reporter,Crime,Radio,Mexico,Local,n/a,n/a,Complete Impunity,Yes,Yes,No
2015,Avijit Roy,n/a,y,n,Murder,Freelance,Freelance,"Internet Reporter,Print Reporter","Culture,Human Rights,Politics","Print,Internet",Bangladesh,Foreign,n/a,n/a,Complete Impunity,No,No,Yes
